"","p_val","avg_diff","pct.1","pct.2","p_val_adj","cluster","gene"
"IGFBP2.1",0.0004876911383157,-0.0974956245817812,0.565,0.65,0.9753822766314,"2","IGFBP2"
"TCEA3.1",0.000518712784652168,0.176912600000928,0.367,0.276,1,"2","TCEA3"
"CXXC5.2",0.000528958761383563,0.102801078947074,0.513,0.492,1,"2","CXXC5"
"CKAP2.2",0.000555863325845904,0.0435522843322844,0.307,0.319,1,"2","CKAP2"
"GABARAPL1.2",0.000576967373171508,-0.121151177643957,0.595,0.636,1,"2","GABARAPL1"
"PTGES.2",0.00061263299256696,0.105966469934787,0.648,0.639,1,"2","PTGES"
"UBE2C.2",0.000645789524331228,-0.0874530916829235,0.289,0.261,1,"2","UBE2C"
"PIF1.1",0.000646528515115485,0.00773702981149983,0.252,0.265,1,"2","PIF1"
"PKDCC.1",0.000657708178562916,0.0290226312124179,0.298,0.317,1,"2","PKDCC"
"KCNJ2",0.000658245001302696,0.0331561333360806,0.263,0.259,1,"2","KCNJ2"
"CTSL.2",0.000659535038664869,-0.0960957175037196,0.572,0.619,1,"2","CTSL"
"COX7A1.2",0.000659965573284002,-0.135556413787907,0.592,0.659,1,"2","COX7A1"
"SERTAD4-AS1.1",0.000673442484581394,-0.241176508867456,0.271,0.405,1,"2","SERTAD4-AS1"
"SEMA3A.1",0.000694251116422122,-0.200250953610356,0.426,0.542,1,"2","SEMA3A"
"IRS2.1",0.000722887105262264,0.0869307791388703,0.566,0.543,1,"2","IRS2"
"SLC7A5.1",0.000733267184806891,-0.229873691255359,0.355,0.483,1,"2","SLC7A5"
"DBF4.1",0.000746316265859702,0.0011123795699944,0.24,0.263,1,"2","DBF4"
"MSMO1.2",0.000762530607831701,0.0336868836348698,0.655,0.65,1,"2","MSMO1"
"CD55.2",0.000764256274988653,-0.149755054640619,0.602,0.67,1,"2","CD55"
"TEK",0.000773188552669198,0.00709879623243401,0.244,0.254,1,"2","TEK"
"ADAM12",0.000782848308663964,0.0832403611684704,0.556,0.538,1,"2","ADAM12"
"RELB.1",0.000790071063177045,0.0368860707530046,0.359,0.368,1,"2","RELB"
"INHBB.2",0.000796073138377565,0.00470650996723432,0.4,0.29,1,"2","INHBB"
"GTSE1.2",0.00082619265984739,-0.0946579437118651,0.372,0.318,1,"2","GTSE1"
"FRMD4A.1",0.000832716073051304,0.0267980762581416,0.326,0.34,1,"2","FRMD4A"
"AVEN.1",0.000864256120666904,-0.159560747828979,0.446,0.571,1,"2","AVEN"
"CDCP1.1",0.000889486085979442,-0.0565840710906503,0.219,0.255,1,"2","CDCP1"
"PPIF.2",0.000890907574442816,-0.171189999046517,0.474,0.591,1,"2","PPIF"
"CEP55.2",0.000931278045015622,-0.110177680216075,0.349,0.303,1,"2","CEP55"
"LACTB2.2",0.000937671667022724,-0.175011264501805,0.593,0.697,1,"2","LACTB2"
"CENPF.2",0.000970254165100548,-0.0363627294439986,0.298,0.266,1,"2","CENPF"
"PBK.2",0.000980464638142034,-0.0816460918888217,0.327,0.3,1,"2","PBK"
"SPOCD1.1",0.00113514887700268,-0.157111781881707,0.546,0.65,1,"2","SPOCD1"
"NEGR1",0.00114659511544386,-0.240960455042035,0.312,0.443,1,"2","NEGR1"
"COL7A1",0.00115869212459659,0.0675620538358548,0.442,0.441,1,"2","COL7A1"
"IL7R.1",0.00115996277349097,-0.39130763417587,0.091,0.264,1,"2","IL7R"
"CTXN1",0.00117109020258247,0.00682029627694412,0.252,0.256,1,"2","CTXN1"
"H2AFX",0.00122535287870269,-0.185244080622667,0.38,0.506,1,"2","H2AFX"
"SGCD.1",0.00122937104441078,-0.24149148621597,0.235,0.347,1,"2","SGCD"
"SYPL2.1",0.00123918016293692,-0.25747914978602,0.217,0.343,1,"2","SYPL2"
"NOP56.1",0.00125022879662564,-0.174678529941502,0.586,0.682,1,"2","NOP56"
"CDKN2A.1",0.00132070360256632,-0.148472203525214,0.573,0.649,1,"2","CDKN2A"
"BMP4.1",0.00134236312462789,-0.099022712873422,0.586,0.643,1,"2","BMP4"
"LSR",0.00144316824406,-0.223774348874194,0.277,0.409,1,"2","LSR"
"SNHG9.1",0.00145252782954691,0.0271050482103794,0.416,0.422,1,"2","SNHG9"
"CAMK2D.1",0.0014891555765602,-0.173654553391418,0.586,0.69,1,"2","CAMK2D"
"PITX1.1",0.00151265210670159,0.135404808358285,0.614,0.555,1,"2","PITX1"
"ITGBL1",0.00153343248420406,-0.221461125933542,0.326,0.448,1,"2","ITGBL1"
"FAM101B.1",0.00166652399540753,-0.130616730950159,0.564,0.664,1,"2","FAM101B"
"SLIT2.1",0.00168488035850703,-0.238499605846976,0.301,0.434,1,"2","SLIT2"
"LINC00475.1",0.00169361313501551,0.0983053192673325,0.578,0.565,1,"2","LINC00475"
"WNT5B.1",0.00175192970761738,-0.168091972151824,0.441,0.564,1,"2","WNT5B"
"MRVI1.1",0.00180852902039364,-0.154784935415995,0.606,0.681,1,"2","MRVI1"
"DIAPH3.2",0.00185781439734742,-0.249121056333692,0.275,0.409,1,"2","DIAPH3"
"CD81.2",0.00187131446867421,0.128692085494749,0.619,0.584,1,"2","CD81"
"ADGRD1.1",0.00188263330342262,0.0779929549335024,0.522,0.513,1,"2","ADGRD1"
"AVPI1.1",0.00189829939554408,-0.107501662606659,0.582,0.638,1,"2","AVPI1"
"CCDC34.2",0.00191120606568936,0.0101910105943927,0.277,0.299,1,"2","CCDC34"
"ADH1B",0.00192854032700451,0.32078276421849,0.286,0.147,1,"2","ADH1B"
"CDCA3.2",0.00196895835025813,-0.0475103689042705,0.324,0.289,1,"2","CDCA3"
"HOXC8.2",0.00201407373775742,-0.0126372970558492,0.349,0.273,1,"2","HOXC8"
"DNAJB4",0.00207033040497083,-0.199232036711219,0.431,0.548,1,"2","DNAJB4"
"OCIAD2",0.00211978420536829,-0.119907369106385,0.584,0.663,1,"2","OCIAD2"
